Index,संस्कृतम्,हिन्दी अर्ध,English Meaning,word,sandhied_word,kaaraka_sambandha,hindi_meaning
3.1.A,प्रजा-पति-समः,ब्रह्मा के समान,like the creator Brahma,सुतम्,सुतं,"अभेदः,8.1",पुत्र
,,,,रामम्,रामं,"कर्म,6.1",राम_को
,,,,दशरथः,दशरथः,"कर्ता,6.1",दशरथ_ने
,,,,प्रियम्,प्रियम्,"विशेषणम्,7.1",प्रिय
,,,,.,.,-,-
,श्रीमान्,दिव्य विभूति वाले,affluent,सः,सः,"विशेषणम्,4.1",वह
,,,,जगाम,जगाम,"अभिहित_कर्ता,4.1;सकर्मक",गयी
,,,,वनम्,वनं,"कर्म,2.1",वन_को
,धाता,लोक के व्यवस्थापक,supporter of the Creation,वीरः,वीरः,"कर्ता,2.1",वीर
,,,,प्रतिज्ञाम्,प्रतिज्ञाम्,"कर्म,6.1",प्रतिज्ञा
,,,,अनुपालयन्,अनुपालयन्,"वर्तमानसमानकालः,2.1",अनु_पाल्1ता_हुआ
,रिपु-निषूदनः,शत्रुओं के विनाशक,slayer of his enemies,पितुः,पितुः,"षष्ठीसम्बन्धः,8.1",पिता_के
,,,,वचन-,वचन-निर्देशात्,"षष्ठी-तत्पुरुषः,8.2",वचन-
,,,,निर्देशात्,--,"हेतुः,2.1",निर्देश_से
,,,,कैकेय्याः,कैकेय्याः,"षष्ठीसम्बन्धः,10.2",कैकेयी_के
3.2.A,रक्षिता,रक्षक,vindicator,प्रिय-,प्रिय-कारणात्,"कर्मधारयः,10.2",प्रिय-
,,,,कारणात्,--,"हेतुः,2.1",कारण_से
,,,,.,-,-,-
,जीव-लोकस्य,संसार के,of living beings,तम्,तं,"विशेषणम्,11.1",वह
,,,,व्रजन्तम्,व्रजन्तं,"विशेषणम्,11.1",घूमने
,,,,प्रियः,प्रियः,"विशेषणम्,4.1",प्रिय
,,,,भ्राता,भ्राता,"अभेदः,5.1",भाई
,धर्मस्य,धर्म की,of faith,लक्ष्मणः,लक्ष्मणः,"कर्ता,6.2",लक्ष्मण
,,,,अनुजगाम,--,"अभिहित_कर्ता,5.1;सकर्मक",पीछे_गया
,,,,ह,ह,"सम्बन्धः,6.2",
,परि-रक्षिता,रक्षा करने वाले,staunch defender,स्नेहात्,स्नेहात्,"हेतुः,6.2",स्नेह_से
,,,,विनय-,विनय-सम्पन्नः,"तृतीया-तत्पुरुषः,9.2",विनय-
,,,,सम्पन्नः,--,"विशेषणम्,5.1",सम्पन्न
,,,,सुमित्रा-,सुमित्रानन्द-वर्धनः,"षष्ठी-तत्पुरुषः,10.2",सुमित्रा-
,13,13,13,आनन्द-,--,"षष्ठी-तत्पुरुषः,10.3",आनन्द-
,,,,वर्धनः,--,"विशेषणम्,5.1",वर्धन
,,,,भ्रातरम्,भ्रातरं,"कर्म,6.2",भाई_को
4.1.A,रक्षिता,रक्षक,vindicator,दयितः,दयितः,"विशेषणम्,5.1",दयित
,,,,भ्रातुः,भ्रातुः,"षष्ठीसम्बन्धः,12.1",भाई_का
,,,,सौभ्रात्रम्,सौभ्रात्रम्,"कर्म,15.1",सौभ्रात्र_को
,स्वस्य,अपने,of own,अनुदर्शयन्,अनुदर्शयन्,"वर्तमानसमानकालः,6.2",देखता_हुआ
,,,,.,.,-,-
,,,,रामस्य,रामस्य,"षष्ठीसम्बन्धः,3.1",राम_की
,धर्मस्य,धर्म की,of faith,दयिता,दयिता,"विशेषणम्,3.1",पत्नी
,,,,भार्या,भार्या,"कर्ता,8.1",पत्नी
,,,,नित्यम्,नित्यं,"क्रियाविशेषणम्,8.1",नित्य
,स्व-जनस्य,अपने लोगों के,of own people,प्राण-,प्राण-समा,"तृतीया-तत्पुरुषः,5.2",प्राण-
,,,,समा,--,"समुच्चितः,7.1",समा
,,,,(च),(च),"समुच्चय_द्योतकः,5.2",च2
,,,,हिता,हिता,"विधेय_विशेषणम्,3.1",उपयोगी
,च,और,and,(अस्ति),अस्ति,"अभिहित_कर्ता,7.1",है
,,,,.,.,-,-
,,,,जनकस्य,जनकस्य,"षष्ठीसम्बन्धः,2.1",जनक_के
,रक्षिता,रक्षक,vindicator,कुले,कुले,"अधिकरणम्,3.1",कुल_में
,,,,जाता,जाता,"विशेषणम्,4.1",उत्पन्न_की_हुई
,,,,सा,सा,"कर्ता,8.1",वह
4.2.A,वेद-वेदाङ्ग-तत्व-ज्ञः,वेदों एवं वेदाङ्गों के रहस्य को जानने वाले,knower of the truth of Vedas and Vedangas,देव-,देव-माया,"षष्ठी-तत्पुरुषः,5.2",देव-
,,,,माया,--,"उपमानम्,4.1",माया
,,,,इव,इव,"उपमान_द्योतकः,5.2",जैसे
,,,,निर्मिता,निर्मिता,"विधेय_विशेषणम्,5.2",निर्मित
,,,,अस्ति,अस्ति,"अभिहित_कर्ता,4.1",है
,,,,.,.,-,-
,धनुः-वेदे,धनुर्वेद में,in archery,(सा),(सा),"विशेषणम्,4.1",वह
,,,,सर्व-,सर्व-लक्षण-सम्पन्ना,"कर्मधारयः,2.2",सर्व-
,,,,लक्षण-,--,"तृतीया-तत्पुरुषः,2.3",
,,,,सम्पन्ना,--,"विशेषणम्,4.1",सम्पन्न
,च,और,and,नारीणाम्,--,"निर्धारणम्,4.1",नारियों_की
,,,,उत्तमा,--,"कर्ता,6.1",अच्छी
,,,,वधूः,--,"विधेय_विशेषणम्,4.1",बहू
,नि-ष्ठितः,पारङ्गत,pastmaster,(अस्ति),--,"अभिहित_कर्ता,4.1",है
,,,,.,-,-,-
,,,,सीता,सीता,"कर्ता,3.1",सीता
,,,,अपि,अपि,"सम्बन्धः,1.1",भी
,14,14,14,अनुगता,अनुगता,,अनुसरण_किया_हुआ
,,,,रामम्,रामं,"कर्म,3.1",राम_का
,,,,शशिनम्,शशिनं,"उपमानम्,4.1",चाँद_को
5.1.A,सर्व-शास्त्रार्थ-तत्व-ज्ञः,शास्त्रों के मर्मज्ञ,knower of the real meaning of the scriptures,रोहिणी,रोहिणी,"उपमानम्,1.1",रोहिणी
,,,,यथा,यथा,"उपमान_द्योतकः,6.1",जैसे
,,,,.,.,-,-
,,,,पौरैः,पौरैः,"समुच्चितः,3.1",पौरों_से
,,,,पित्रा,पित्रा,"अभेदः,3.1",पिता_से
,,,,दशरथेन,दशरथेन,"हेतुः,6.1",दशरथ_से
,स्मृतिमान्,दृढ स्मृतिवाले,possessed of sharp memory,च,च,"समुच्चय_द्योतकः,3.1",च2
,,,,दूरम्,दूरं,"कर्म,6.1",दूर
,,,,अनुगतः,अनुगतः,"विशेषणम्,7.2",पीछे_चलने_वाला
,प्रतिभानवान्,विलक्षणबुद्धिसम्पन्न,possessed of quick wit,धर्म-,धर्म-आत्मा,"बहुव्रीहिः,7.2",धर्म-
,,,,आत्मा,--,"कर्ता,15.1;कर्ता,12.1",आत्मा
,,,,शृङ्गवेर-,--,"कर्मधारयः,8.2",शृङ्गवेर-
5.2.A,सर्व-लोक-प्रियः,सभी के प्रिय,popular amongst the people,पुरे,--,"अधिकरणम्,12.1",नगर_का
,,,,निषाद-,--,"षष्ठी-तत्पुरुषः,9.2",
,,,,अधिपतिम्,--,"विशेषणम्,11.1",अधिपति
,,,,प्रियम्,--,"विशेषणम्,11.1",प्रिय
,,,,गुहम्,--,"कर्म,12.1",गुह_को
,साधुः,सज्जन,pious,आसाद्य,--,"पूर्वकालः,15.1",
,,,,सूतं,--,"कर्म,15.1",सूत_को
,,,,गङ्गा-,--,"षष्ठी-तत्पुरुषः,14.2",गङ्गा-
,अदीनात्मा,अदीन स्वभाव वाले,high minded one,कूले,--,"अधिकरणम्,15.1",किनारे_में
,,,,व्यसर्जयत्,--,"अभिहित_कर्ता,7.1;सकर्मक",आया
,,,,.,-,-,-
,वि-चक्षणः,विवेकयुक्त,clever,रामः,रामः,-,राम
,,,,गुहेन,गुहेन,"समुच्चितः,4.1",गुह_से
,,,,लक्ष्मणेन,--,"समुच्चितः,4.1",लक्ष्मण_से
,,,,सीतया,--,"सहार्थः,9.1",सीता_से
,15,15,15,च,--,"समुच्चय_द्योतकः,4.1",और
,,,,सहितः,--,"सहार्थ_द्योतकः,4.1",साथ
,,,,वनेन,--,"करणवीप्सा,8.1",वन_से
6.1.A,सर्वदा,हमेशा,always,वनम्,--,"कर्म,9.1",वन
,,,,गत्वा,--,"पूर्वकालः,27.1",जा_कर
,,,,बहु-,--,"षष्ठी-बहुव्रीहिः,10.2",बहु-
,अभिगतः,घिरा हुआ,persons sought,उदकाः,--,"विशेषणम्,11.1",उदका
,,,,नदीः,--,"कर्म,12.1",नदियाँ
,,,,तीर्त्वा,--,"पूर्वकालः,27.1",तैर_कर
,सद्भिः,सज्जनों से,by righteous,चित्रकूटम्,--,"कर्म,14.1",चित्रकूट_को
,,,,अनुप्राप्य,--,"पूर्वकालः,27.1",प्राप्त_करके
,,,,भरद्वाजस्य,--,"कर्ता,16.1",भरद्वाज_के
,समुद्रः,समुद्र (की),ocean,शासनात्,--,"हेतुः,14.1",शासन_से
,,,,रम्यम्,--,"विशेषणम्,18.1",रम्य
,,,,आवसथम्,--,"कर्म,19.1",आवसथ_को
,इव,के समान,like,कृत्वा,--,"पूर्वकालः,27.1",मार_डाल_कर
,,,,देव-,--,"इतरेतर-द्वन्द्वः,20.2",देव-
,,,,गन्धर्व-,--,"बहुव्रीहिः,20.3",गन्धर्व-
,सिन्धुभिः,नदियों से,by rivers,सङ्काशाः,--,"विशेषणम्,24.1",सङ्काशों_में
,,,,वने,--,"अधिकरणम्,22.1",वन_में
,,,,रममाणाः,--,"विशेषणम्,24.1",
6.2.A,आर्यः,पूज्य,noble,ते,--,"विशेषणम्,24.1",वे
,,,,त्रयः,--,"कर्ता,27.1;कर्ता,19.1;कर्ता,14.1;कर्ता,12.1;कर्ता,9.1",तीनों_ने
,,,,तत्र,--,"देशाधिकरणम्,27.1",वहाँ
,सर्व-समः,सर्व-समान,alike to all,सुखम्,--,"क्रियाविशेषणम्,27.1",प्रसन्नतापूर्वक
,,,,न्यवसन्,--,"अभिहित_कर्ता,24.1;सकर्मक",नि_वस्1या
,,,,.,-,-,-
,,,,चित्रकूटम्,चित्रकूटं,"कर्म,2.1",
,च,और,and,गते,गते,"भावलक्षणसप्तमी_पूर्वकालः,9.1",गया_हुआ
,,,,रामे,रामे,"अधिकरणम्,2.1",राम_में
,,,,पुत्र-,पुत्र-शोक-आतुरः,"षष्ठी-तत्पुरुषः,4.2",पुत्र-
,एव,भी,also,शोक-,--,"तृतीया-तत्पुरुषः,4.3",शोक-
,,,,आतुरः,--,"विशेषणम्,7.1",आतुर
,,,,तथा,तथा,"क्रियाविशेषणम्,9.1",और
,सदा,हमेशा,always,राजा,राजा,"विशेषणम्,7.1",राजा
,,,,दशरथः,दशरथः,"कर्ता,9.1",दशरथ1
,,,,स्वर्गम्,स्वर्गं,"कर्म,9.1",स्वर्ग
,एव,भी,also,जगाम,जगाम,"अभिहित_कर्ता,7.1;सकर्मक",गया
,,,,विलपन्,विलपन्,"वर्तमानसमानकालः,9.1",विलाप_करता_हुआ
,,,,सुतम्,सुतम्,"कर्म,10.1",पुत्र_को
,प्रिय-दर्शनः,प्रिय दिखाई देनेवाले,possessed of pleasing appearance,.,.,-,-
,,,,गते,गते,"भावलक्षणप्तमी_पूर्वकालः,10.1",गये_हुए
,,,,तु,तु,"सम्बन्धः,1.1",तो
,,,,तस्मिन्,तस्मिन्,"अधिकरणम्,7.1",उसमें
,16,16,16,भरतः,भरतः,"कर्ता,10.1",भरत्_का
,,,,वसिष्ठ-,वसिष्ठ-प्रमुखैः,"षष्ठी-बहुव्रीहिः,5.2",वसिष्ठ-
,,,,प्रमुखैः,--,"विशेषणम्,6.1",प्रमुख
7.1.A,सः,वह,he,द्विजैः,द्विजैः,"कर्ता,7.1",ब्राह्मणों_से
,,,,नियुज्यमानः,नियुज्यमानः,"विशेषणम्,4.1",
,,,,राज्याय,राज्याय,"प्रयोजनम्,7.1",राज्य_को
,च,और,and,न,न,"प्रतिषेधः,10.1",
,,,,ऐच्छत्,ऐच्छत्,"अभिहित_कर्ता,12.2;सकर्मक",इच्छा_नहीं_की
,,,,राज्यम्,राज्यं,"कर्म,10.1",राज्य_की
,सर्व-गुणोपेतः,सब गुणों से युक्त,endowed with all excellences,महा-,महा-बलः,"षष्ठी-बहुव्रीहिः,12.2",महा-
,,,,बलः,--,"विशेषणम्,4.1",बल_ने
,,,,.,.,-,-
,,,,सः,सः,"कर्ता,2.1",वह
,कौसल्यानन्द-वर्धनः,कौसल्या के आनन्द को बढाने वाला,enhances the delight of Kausalya,जगाम,जगाम,"अभिहित_कर्ता,4.1;सकर्मक",गयी
,,,,वनम्,वनं,"कर्म,2.1",वन_को
,,,,वीरः,वीरः,"विशेषणम्,1.1",वीर
,,,,राम-,राम-पाद-प्रसादकः,"षष्ठी-तत्पुरुषः,5.2",राम-
7.2.A,समुद्रः,समुद्र (की),ocean,पाद-,--,"उपपद-तत्पुरुषः,5.3",पाद-
,,,,प्रसादकः,--,"विशेषणम्,4.1",प्रसादक
,,,,.,.,-,-
,इव,के समान,like,गत्वा,गत्वा,"पूर्वकालः,7.1",जा_कर
,,,,तु,तु,"सम्बन्धः,1.1",तो
,,,,सः,सः,"विशेषणम्,10.3",वह
,गाम्भीर्ये,गहराई में,in profoundity,महात्मानम्,महात्मानं,"विशेषणम्,5.1",महात्मे
,,,,रामम्,रामं,"कर्म,1.1",राम_की
,,,,सत्य-,सत्य-पराक्रमम्,"षष्ठी-बहुव्रीहिः,6.2",सत्य-
,धैर्येण,धैर्य से,in firmness,पराक्रमम्,--,"विशेषणम्,5.1",पराक्रम
,,,,अयाचत्,अयाचत्,"अभिहित_कर्ता,10.3;सकर्मक",याचना_की
,,,,भ्रातरम्,भ्रातरं,"विशेषणम्,9.1",भाई
,हिमवान्,हिमालय,Himalaya,रामम्,रामम्,"कर्म,7.1",राम_की
,,,,आर्य-,आर्य-भाव-पुरस्कृतः,"कर्मधारयः,10.2",आर्य-
,,,,भाव-,--,"तृतीया-तत्पुरुषः,10.3",
,इव,के समान,like,पुरस्कृतः,--,"कर्ता,7.1;कर्ता,1.1",पुरस्कृत_ने
,,,,.,.,-,-
,,,,त्वम्,त्वम्,"कर्ता,5.1",तुम
,17,17,17,एव,एव,"सम्बन्धः,1.1",ही
,,,,राजा,राजा,"विशेषणम्,1.1",राजा
,,,,धर्मज्ञः,धर्मज्ञः,"विधेय_विशेषणम्,1.1",धर्मज्ञ1
8.1.A,विष्णुना,विष्णु के,Vishnu,(असि),असि,"वाक्यार्थः,8.1",हो
,,,,इति,इति,"वाक्यार्थ_द्योतकः,5.1",ऐसा
,,,,रामम्,रामं,"कर्म,9.1",राम_को
,सदृशः,समान,like,वचः,वचः,"मुख्यकर्म,9.1",तोते_ने
,,,,अब्रवीत्,अब्रवीत्,-,कहा
,,,,.,.,-,-
,वीर्ये,पराक्रम में,in prowess,रामः,रामः,"कर्ता,6.1",राम
,,,,अपि,अपि,"सम्बन्धः,1.1",भी
,,,,परम-,परम-उदारः,"कर्मधारयः,3.2",परम-
,सोमवत्,चन्द्र की तरह,like the moon,उदारः,--,"विधेय_विशेषणम्,1.1",उदार
,,,,सु-,सु-मुखः,"बहुव्रीहिः,4.2",सु-
,,,,मुखः,--,"विधेय_विशेषणम्,1.1",मुख
,प्रिय-दर्शनः,प्रिय दिखाई देनेवाले,possessed of pleasing appearance,सु-,सु-महा-यशाः,"बहुव्रीहिः,5.2",सु-
,,,,महा-,--,"कर्मधारयः,5.3",महा-
,,,,यशाः,--,"विधेय_विशेषणम्,1.1",यशस्
,,,,(आसीत्),(आसीत्),"अभिहित_कर्ता,1.1",था
8.2.A,कालाग्नि-सदृशः,कालाग्नि-समान,resembling the destructive fire,.,.,-,-
,,,,न,न,"प्रतिषेधः,3.1",नहीं
,,,,च,च,"सम्बन्धः,1.1",च1
,,,,ऐच्छत्,ऐच्छत्,"अभिहित_कर्ता,7.1;सकर्मक",इच्छा_की
,क्रोधे,क्रोध में,in anger,पितुः,पितुः,"षष्ठीसम्बन्धः,5.1",पिता_से
,,,,आदेशात्,आदेशात्,"हेतुः,3.1",आदेश
,,,,राज्यम्,राज्यं,"कर्म,3.1",राज्य_की
,क्षमया,क्षमा में,in forbearance,रामः,रामः,"कर्ता,3.1",राम_ने
,,,,महा-,महा-बलः,"समासः,8.2",महा-
,,,,बलः,--,"विशेषणम्,7.1",बल
,पृथिवी-समः,पृथिवी के समान,counter part of earth,.,.,-,-
,,,,पादुके,पादुके,"कर्म,6.1",पादुक_में
,,,,च,च,"सम्बन्धः,1.1",और
,,,,अस्य,अस्य,"षष्ठीसम्बन्धः,4.1",इसके
,18,18,18,राज्याय,राज्याय,"प्रयोजनम्,6.1",राज्य_को
,,,,न्यासम्,न्यासं,"कर्म,6.1",धरोहर
,,,,दत्त्वा,दत्त्वा,"पूर्वकालः,9.1",दे_कर
9.1.A,धनदेन,कुबेर के,with Kubera (the god of wealth),पुनः,पुनः,"वीप्सा,8.1",फिर
,,,,पुनः,पुनः,"क्रियाविशेषणम्,9.1",फिर
,,,,निवर्तयामास,निवर्तयामास,"अभिहित_कर्ता,12.3;सकर्मक",निवृत्त_हुआ
,समः,समान,just like,ततः,ततः,"सम्बन्धः,9.1",वहाँ_से
,,,,भरतम्,भरतं,"कर्म,9.1",पूर्ण_करो
,,,,भरत-,भरत-अग्रजः,"षष्ठी-बहुव्रीहिः,12.2",भरत-
,त्यागे,दान में,in liberality,अग्र-,--,"उपपद-तत्पुरुषः,12.3",आगे
,,,,जः,--,"कर्ता,9.1",आगे
,,,,.,.,-,-
,सत्ये,सत्य में,in truthfulness,सः,सः,"कर्ता,8.1;कर्ता,3.2",उसने
,,,,कामम्,कामम्,"कर्म,3.2",काम
,,,,अन्-,अन्-अवाप्य,"नञ्-तत्पुरुषः,3.2",अन्-
,धर्मः,धर्मदेव,the god of piety,अवाप्य,--,"पूर्वकालः,8.1",पा_कर
,,,,एव,एव,"सम्बन्धः,3.2",ही
,,,,राम-,राम-पादौ,"षष्ठी-तत्पुरुषः,5.2",राम-
,इव,के समान,like,पादौ,--,"कर्म,6.1",पैर
,,,,उपस्पृशन्,उपस्पृशन्,"वर्तमानसमानकालः,8.1",छूता_हुआ
,,,,नन्दि-,नन्दि-ग्रामे,"कर्मधारय,7.2",नन्दि-
,अपरः,दूसरा,another,ग्रामे,--,"अधिकरणम्,8.1",गाँव_में
,,,,अकरोत्,अकरोत्,"अभिहित_कर्ता,1.1;सकर्मक",किया
,,,,राज्यम्,राज्यं,"कर्म,8.1",राज्य
9.2.A,तम्,राम को,aforesaid,राम-,राम-आगमन-काङ्क्षया,"षष्ठी-तत्पुरुषः,10.2",राम-
,,,,आगमन-,--,"षष्ठी-तत्पुरुषः,10.3",
,,,,काङ्क्षया,--,"हेतुः,8.1",अभिलाषा_से
,एवं-गुण-सम्पन्नम्,पूर्व में कहे गए गुणों से सम्पन्न,endowed with the aforesaid qualities,.,.,-,-
,,,,,,,
,,,,गते,गते,"भावलक्षणसप्तमी_पूर्वकालः,18.1",गये_हुए
,,,,तु,तु,"सम्बन्धः,1.1",तो
,,,,भरते,भरते,"कर्ता,1.1",भरत_में
,रामम्,राम,by shri Rama,श्रीमान्,श्रीमान्,"विशेषणम्,7.1",श्री_मान्
,,,,सत्य-,सत्य-सन्धः,"षष्ठी-तत्पुरुषः,5.2",सत्य-
,,,,सन्धः,--,"विशेषणम्,7.1",मेल
,सत्य-परा-क्रमम्,अमोघ पराक्रम वाले,possessed of unfailing prowess,जित-,जितेन्द्रियः,"षष्ठी-बहुव्रीहिः,6.2",
,,,,इन्द्रियः,--,"विशेषणम्,7.2",
,,,,रामः,रामः,"कर्ता,18.1;कर्ता,10.1",राम
,,,,तु,तु,"सम्बन्धः,7.1",तो
,,,,पुनः,पुनः,"क्रियाविशेषणम्,10.1",फिर
10.1.A,ज्येष्ठं,सबसे बडे,eldest,आलक्ष्य,आलक्ष्य,"पूर्वकालः,18.1",समझ_कर
,,,,नागरस्य,नागरस्य,"समुच्चितः,12.1",नागर_का
,,,,जनस्य,जनस्य,"षष्ठीसम्बन्धः,15.1",जन_की
,ज्येष्ठ-गुणैः,उत्तम गुणों से,with highest virtues,च,च,"समुच्चय_द्योतकः,12.1",च2
,,,,तत्र,तत्र,"देशाधिकरणम्,10.1",वहाँ
,,,,आगमनम्,आगमनम्,"कर्म,10.1",आगमन
,,,,एकाग्रः,एकाग्रः,"विशेषणम्,7.1",एकाग्रता_ने
,युक्तम्,लगे हुए,endowed,दण्डकान्,दण्डकान्,"कर्म,18.1",दण्डकों_में
,,,,प्रविवेश,प्रविवेश,"अभिहित_कर्ता,16.1;सकर्मक",प्रवेश_किया
,,,,ह,ह,"सम्बन्धः,18.1",ह
,प्रियम्,प्रिय,be loved,.,.,-,-
,,,,प्रविश्य,प्रविश्य,"पूर्वकालः,10.1",प्रवेश_करके
,,,,तु,तु,"सम्बन्धः,1.1",तो
,दशरथः,दशरथ,Dasharatha,महा-,महा-अरण्यं,"कर्मधारय,3.2",महारण्य_में
,,,,अरण्यम्,--,"कर्म,1.1",
,,,,रामः,रामः,"कर्ता,10.1;कर्ता,8.1;कर्ता,1.1",राम_ने
,सुतम्,पुत्र को,son,राजीव-,राजीव-लोचनः,"षष्ठी-बहुव्रीहिः,5.2",राजीव-
,,,,लोचनः,--,"विशेषणम्,4.1",देखना
,,,,विराधम्,विराधं,"विशेषणम्,7.1",विरोध
10.2.A,प्रकृतीनां,प्रजा के,of the people,राक्षसम्,राक्षसं,"कर्म,8.1",राक्षस
,,,,हत्वा,हत्वा,"पूर्वकालः,10.1",मार_कर
,,,,शरभङ्गम्,शरभङ्गं,"कर्म,10.1",शरभङ्ग_को
,हितैः,कल्याण में,to the interests,ददर्श,ददर्श,"अभिहित_कर्ता,4.1;सकर्मक",देखा
,,,,ह,ह,"सम्बन्धः,10.1",ह
,,,,सुतीक्ष्णम्,सुतीक्ष्णं,"समुच्चितः,9.1",सुतीक्ष्ण
,युक्तम्,लगे हुए,endowed,च,च,"समुच्चय_द्योतकः,12.1",च2
,,,,अपि,अपि,"सम्बन्धः,13.1",भी
,,,,अगस्त्यम्,अगस्त्यं,"समुच्चितः,9.1",अगस्त्य_को
,प्रकृति-प्रिय-काम्यया,प्रजा कल्याण की इच्छा से,with intent to gratify the people,च,च,"समुच्चय_द्योतकः,15.1",च2
,,,,अगस्त्य-,अगस्त्य-भ्रातरं,"षष्ठी-तत्पुरुषः,17.2",अगस्त्य-
,,,,भ्रातरम्,--,"समुच्चितः,9.1",भाई_को
,,,,तथा,तथा,"समुच्चय_द्योतकः,17.2",और
,,,,.,.,-,-
11.1.A,यौवराज्येन,यौवराज्येन,office of regent,अगस्त्य-,अगस्त्य-वचनात्,"षष्ठी-तत्पुरुषः,1.2",अगस्त्य-
,,,,वचनात्,--,"हेतुः5,4.1",वचन_से
,,,,च,च,"सम्बन्धः,1.2",च1
,संयोक्तुम्,आरूढ करने के लिए,to invest with office of regent,एव,एव,"सम्बन्धः,2.1",ही
,,,,जग्राह,जग्राह,"अभिहित_कर्ता,10.1;सकर्मक",ली
,,,,ऐन्द्रं,ऐन्द्रं,"विशेषणम्,6.2",ऐन्द्र
,ऐच्छत्,चाहा,sought,शर-,शर-आसनम्,"षष्ठी-तत्पुरुषः,6.2",शर-
,,,,आसनम्,--,"कर्म,4.1",आसन
,,,,खड्गं,खड्गं,"समुच्चितः,6.2",तलवार_को
,प्रीत्या,सहर्ष,lovingly,च,च,"समुच्चय_द्योतकः,7.1",च1
,,,,परम-,परम-प्रीतः,"कर्मधारयः,9.2",परम-
,,,,प्रीतः,--,"कर्ता,4.1",प्रसन्न
,मही-पतिः,राजा,Emperor,तूणी,तूणी,"समुच्चितः,6.2",तरकस_ने
,,,,च,च,"समुच्चय_द्योतकः,10.1",च2
,,,,अक्षय-,अक्षय-सायकौ,"षष्ठी-बहुव्रीहिः,12.2",अक्षय-
,,,,सायकौ,--,"विशेषणम्,10.1",बाण
11.2.A,तस्य,राम के,of Rama,.,.,-,-
,,,,सः,सः,"कर्ता,3.1",उसने
,,,,तेषाम्,तेषां,"विशेषणम्,4.1",उन
,अभिषेक-सम्भारान्,अभिषेक प्रस्तुति को,preparations for coronation,प्रतिशुश्राव,प्रतिशुश्राव,"अभिहित_कर्ता,1.1;सकर्मक",प्रति_श्रु1या
,,,,राक्षसानाम्,राक्षसानां,"षष्ठीसम्बन्धः,5.1",राक्षसों_के
,,,,(वधम्),वधम्,"कर्म,3.1",वध
,,,,तदा,तदा,"कालाधिकरणम्,3.1",तब
,दृष्ट्वा,देखकर,having witnessed,वने,वने,"अधिकरणम्,3.1",वन_में
,,,,.,.,-,-
,,,,प्रतिज्ञातः,प्रतिज्ञातः,-,सहमत
,भार्या,भार्या,spouse,च,च,"सम्बन्धः,1.1",और
,,,,रामेण,रामेण,"कर्ता,1.1",राम_से
,,,,वधः,वधः,"कर्म,1.1",वध
,अथ,इसके पश्चात्,After that,संयति,संयति,"अधिकरणम्,4.1",युद्ध_में
,,,,रक्षसाम्,रक्षसाम्,"कर्म,4.1",राक्षसों_का
,,,,(सन्निधौ),सन्निधौ,"अधिकरणम्,1.1",साथ_साथ_रखने_में
,कैकयी,केकय नरेश की पुत्री,Kaikeyi,ऋषीणाम्,ऋषीणाम्,"षष्ठीसम्बन्धः,7.1",ऋषियों_के
,,,,अग्नि-,अग्नि-कल्पानां,"षष्ठी-बहुव्रीहिः,9.2",अग्नि-
,,,,कल्पानाम्,--,"विशेषणम्,8.1",कल्प
,21,21,21,दण्डक-,दण्डक-अरण्य-वासिनाम्,"कर्मधारय,10.2",दण्डक-
,,,,अरण्य-,--,"षष्ठी-तत्पुरुषः,10.3",अरण्य-
,,,,वासिनाम्,--,"विशेषणम्,8.1",वासिन्
12.1.A,पूर्वम्,पूर्व में,on a former occassion,.,.,-,-
,,,,तेन,तेन,"कर्ता,61",फैलाये
,,,,तत्र,तत्र,"देशाधिकरणम्,6.1",वहाँ
,दत्त-वरा,वर को प्राप्त की हुई,having granted a boon,एव,एव,"सम्बन्धः,2.1",ही
,,,,वसता,वसता,"विशेषणम्,1.1",रहता_हुआ
,,,,जन-,जन-स्थान-निवासिनी,"षष्ठी-तत्पुरुषः,5.2",जन-
,,,,स्थान-,--,"उपपद-तत्पुरुषः,5.3",स्थान-
,देवी,देवी,queen,निवासिनी,--,"विशेषणम्,7.1",निवासिनी
,,,,विरूपिता,विरूपिता,,विरूपिता
,,,,शूर्पणखा,शूर्पणखा,"कर्म,6.1",शूर्पणखा
,वरम्,वर,boon,राक्षसी,राक्षसी,"विशेषणम्,7.1",राक्षसी
,,,,काम-,काम-रूपिणी,"कर्मधारय,9.2",काम-
,,,,रूपिणी,--,"विशेषणम्,7.1",रूपिणी
,एनम्,दशरथ से,him(to Dasharatha),.,.,-,-
,,,,ततः,ततः,"सम्बन्धः,17.1",वहाँ_से
,,,,शूर्पणखा-,शूर्पणखा-वाक्यात्,"षष्ठी-तत्पुरुषः,2.2",शूर्पणखा-
,अयाचत,मांगा,asked,वाक्यात्,--,"हेतुः,3.1",वाक्य_से
,,,,उद्युक्तान्,उद्युक्तान्,"विशेषणम्,4.2",उद्युक्त
,,,,सर्व-,सर्व-राक्षसान्,"कर्मधारय,4.2",सर्व-
12.2.A,वि-वासनम्,निर्वासनम्,exile (of Rama),राक्षसान्,--,"समुच्चितः,12.1",राक्षसों_को
,,,,खरम्,खरं,"घटकः,4.2",खल_को
,,,,त्रिशिरसम्,त्रिशिरसं,"घटकः,4.2",त्रिशिरस्_को
,,,,दूषणम्,दूषणं,"घटकः,4.2",दूषण
,च,और,and,च,च,"सम्बन्धः,7.1",च1
